75,Joe Theismann,1974,1985,4-99,WAS,NFL,167,124,2044,3602,56.75,25206,160,138,77.4,340,7.00,2757,6.16,4.93,150.9,77,47,0
76,Mark Brunell,1994,2011,5-118,TOT,NFL,193,151,2761,4640,59.50,32072,184,108,84.0,390,6.91,2395,6.66,5.67,166.2,78,73,0
77,Y.A. Tittle*,1948,1964,1-6,TOT,TOT,204,152,2427,4395,55.22,33070,242,248,74.3,,7.52,,6.09,,162.1,78,52,5
78,Joe Ferguson,1973,1990,3-57,TOT,NFL,186,171,2369,4519,52.42,29817,196,209,68.4,312,6.60,2710,5.38,4.48,160.3,79,92,0
79,Boomer Esiason,1984,1997,2-38,TOT,NFL,187,173,2969,5205,57.04,37920,247,184,81.1,318,7.29,2438,6.64,5.82,202.8,80,93,0
80,Matt Hasselbeck,1999,2014,6-187,TOT,NFL,199,152,3038,5034,60.35,34667,201,148,82.1,342,6.89,2152,6.36,5.56,174.2,80,72,0
81,Bobby Layne*,1948,1962,1-3,TOT,NFL,175,145,1814,3700,49.03,26768,196,243,63.4,,7.23,,5.34,,153.0,80,51,4
82,Kerry Collins,1995,2011,1-5,TOT,NFL,198,180,3487,6261,55.69,40922,208,196,73.8,337,6.54,2230,5.79,5.16,206.7,81,99,0
83,Craig Morton,1965,1982,1-510-75AFL,TOT,NFL,207,144,2053,3786,54.23,27908,183,187,73.5,373,7.37,2800,6.12,4.85,134.8,81,62,1
84,Randall Cunningham,1985,2001,2-37,TOT,NFL,161,135,2429,4289,56.63,29979,207,134,81.5,484,6.99,3537,6.55,5.14,186.2,82,52,1
85,John Hadl,1962,1977,1-103-24AFL,TOT,TOT,224,166,2363,4687,50.42,33503,244,268,67.4,179,7.15,1514,5.62,4.26,149.6,82,76,9
86,Philip Rivers,2004,2014,1-4,SDG,NFL,141,137,2843,4402,64.58,34720,241,112,96.4,265,7.89,1611,7.84,7.05,246.2,84,53,0
87,Roger Staubach*,1969,1979,10-12916-122AFL,DAL,NFL,131,114,1685,2958,56.96,22700,153,109,83.4,313,7.67,2154,7.05,5.72,173.3,85,29,0
88,Dan Fouts*,1973,1987,3-64,SDG,NFL,181,171,3297,5604,58.83,43040,254,242,80.2,319,7.68,2304,6.64,5.90,237.8,86,84,1
89,Roman Gabriel,1962,1977,1-21-1AFL,TOT,NFL,183,157,2366,4498,52.60,29444,201,149,74.3,168,6.55,1268,5.95,4.94,160.9,86,64,7
90,Jim Hart,1966,1984,,TOT,NFL,201,180,2593,5076,51.08,34665,209,247,66.6,243,6.83,1936,5.46,4.83,172.5,87,88,5
91,Eli Manning,2004,2014,1-1,NYG,NFL,161,159,3102,5285,58.69,37277,245,176,82.0,268,7.05,1891,6.48,5.83,231.5,88,71,0
92,Vinny Testaverde,1987,2007,1-1,TOT,NFL,233,214,3787,6701,56.51,46233,275,267,75.0,417,6.90,2992,5.93,5.16,198.4,90,123,1
93,Ken Anderson,1971,1986,3-67,CIN,NFL,192,172,2654,4475,59.31,32838,197,160,81.9,398,7.34,2875,6.61,5.48,171.0,91,81,0
94,Steve McNair,1995,2007,1-3,TOT,NFL,161,153,2733,4544,60.15,31304,174,119,82.8,254,6.89,1567,6.48,5.81,194.4,91,62,0
95,Bob Griese*,1967,1980,1-4,MIA,TOT,161,151,1926,3429,56.17,25092,192,172,77.1,267,7.32,2318,6.18,5.05,155.9,92,56,3
96,Troy Aikman*,1989,2000,1-1,DAL,NFL,165,165,2898,4715,61.46,32942,165,141,81.6,259,6.99,1748,6.34,5.66,199.6,94,71,0
97,Len Dawson*,1957,1975,1-5,TOT,TOT,211,159,2136,3741,57.10,28711,239,183,82.6,167,7.67,1423,6.75,4.45,136.1,94,57,8
98,Bart Starr*,1956,1971,17-200,GNB,NFL,196,157,1808,3149,57.42,24718,152,138,80.5,59,7.85,533,6.84,3.77,126.1,94,57,6
99,Steve Young*,1985,1999,1-1,TOT,NFL,169,143,2667,4149,64.28,33124,232,107,96.8,358,7.98,2055,7.94,6.85,196.0,94,49,0
100,Phil Simms,1979,1993,1-7,NYG,NFL,164,159,2576,4647,55.43,33462,199,157,78.5,477,7.20,3418,6.54,5.26,204.0,95,64,0
101,Ken Stabler,1970,1984,2-52,TOT,NFL,184,146,2270,3793,59.85,27938,194,222,75.3,281,7.37,2514,5.75,4.74,151.8,96,49,1
102,Drew Bledsoe,1993,2006,1-1,TOT,NFL,194,193,3839,6717,57.15,44611,251,206,77.1,467,6.64,3135,6.01,5.18,230.0,98,95,0
103,Dave Krieg,1980,1998,,TOT,NFL,213,175,3105,5311,58.46,38147,261,199,81.5,494,7.18,3794,6.48,5.27,179.1,98,77,0
104,Donovan McNabb,1999,2011,1-2,TOT,NFL,167,161,3170,5374,58.99,37276,234,117,85.6,410,6.94,2626,6.83,5.89,223.2,98,62,1
105,Jim Kelly*,1986,1996,1-14,BUF,NFL,160,160,2874,4779,60.14,35467,237,175,84.4,323,7.42,2427,6.77,5.86,221.7,101,59,0
106,Ben Roethlisberger,2004,2014,1-11,PIT,NFL,152,151,2980,4684,63.62,36825,241,125,93.9,409,7.86,2669,7.69,6.55,242.3,101,50,0
107,Warren Moon*,1984,2000,,TOT,NFL,208,203,3988,6823,58.45,49325,291,233,80.9,458,7.23,3415,6.55,5.66,237.1,102,101,0
108,Terry Bradshaw*,1970,1983,1-1,PIT,NFL,168,158,2025,3901,51.91,27989,212,210,70.9,307,7.17,2694,5.84,4.77,166.6,107,51,0
109,Drew Brees,2001,2014,2-32,TOT,NFL,194,193,4710,7128,66.08,53605,378,185,95.3,282,7.52,2008,7.41,6.86,276.3,114,79,0
110,Joe Montana*,1979,1994,3-82,TOT,NFL,192,164,3409,5391,63.24,40551,273,139,92.3,313,7.52,2095,7.37,6.60,211.2,117,47,0
111,Johnny Unitas*,1956,1973,9-102,TOT,NFL,211,185,2830,5186,54.57,40239,290,253,78.2,74,7.76,590,6.68,3.99,190.7,118,64,4
112,Fran Tarkenton*,1961,1978,3-295-34AFL,TOT,NFL,246,239,3686,6467,57.00,47003,342,266,80.4,274,7.27,2337,6.47,5.26,191.1,124,109,6
113,Dan Marino*,1983,1999,1-27,MIA,NFL,242,240,4967,8358,59.43,61361,420,252,86.4,270,7.34,1930,6.99,6.55,253.6,147,93,0
114,John Elway*,1983,1998,1-1,DEN,NFL,234,231,4123,7250,56.87,51475,300,226,79.9,516,7.10,3785,6.52,5.60,220.0,148,82,1
115,Tom Brady,2000,2014,6-199,NWE,NFL,202,200,4392,6920,63.47,51541,381,137,96.1,357,7.45,2225,7.66,6.98,255.2,155,45,0
116,Peyton Manning,1998,2014,1-1,TOT,NFL,248,248,5740,8761,65.52,67536,515,224,97.7,279,7.71,1804,7.73,7.30,272.3,173,75,0
117,Brett Favre,1991,2010,2-33,TOT,NFL,302,298,6300,10169,61.95,71838,508,336,86.0,525,7.06,3487,6.58,5.93,237.9,186,112,0
